Serial,Role,Input,RoleRef,Probability Distribution
504,Database Administrator,database administrator houston tx five years december 2008 august 2011 db technical support monitored sql sql maintenance monitored looked tested database management systems skills used lagos gu skills sql microsoft powerpoint windows xp microsoft assembly microprocessors hardware systems design digital electronics system microsoft,Database Administrator,"{1: 0.8461538461538461, 3: 0.07692307692307693, 8: 0.07692307692307693}"
505,Database Administrator,constituting su improve my further technical professional skills profile summary 4 years sun solaris 12c oracle 11 12c single node multi creating users roles profiles assigning roles profiles to users experience on data guard managing database storage structures data files space resizing maintaining the cold and hot logical rman backups of the databases performing logical backups using export utility and restoring specific object schema using import utility monitoring and performing daily backups weekly backups rman psu patches troubleshooting of database maintaining of buffer cache library cache awr ash addm 10g to 11g and 11g to 12c design the us work experience oracle database administrator cognizant hyderabad june 2016 4 years sun solaris 12c oracle 11 12c single node multi creating users roles profiles assigning roles profiles to users experience on data guard managing database storage structures data files space resizing maintaining the cold and hot logical rman backups of the databases performing logical backups using export utility and restoring specific object schema using import utility monitoring and performing daily backups weekly backups convergys hyderabad june 2014 to june 2016 jntu kakinada andhra pradesh 2013 skills databases oracle 4 years sql 4 years 3 years r2 12c sql,Database Administrator,{1: 1.0}
506,Database Administrator,amazon redshift administrator redshift administrator etl developer us redshift administrator fort lauderdale february 2018 redshift rds aws user redshift design rds redshift matillion etl the aws big data ecosystem rds redshift expertise expertise query tuning implementing work load redshift snapshots database administrator quito provincia de november 2014 to december 2015 physical model sql management postgresql oracle migrated created database administrator september 2007 to october 2014 ceige la havana disk mirroring technology s metadata the dbms education bachelor computer science university of informatics june 2007 skills sql 5 years 7 years 1 year 4 years microsoft 10 years 3 years net 2 years etl data datastage data stage additional information proficent metadata sql management postgresql oracle microsoft,Database Administrator,"{1: 0.8461538461538461, 7: 0.07692307692307693, 8: 0.07692307692307693}"
507,Database Administrator,october 2015 to april 2019 scrum track scrum scrum maintains coordinates june 2013 to october 2015 linux oracle 10 rman backups hot backups logical backups patch patch runinstaller sql tuning used tuning statspack tkprof experienced asm rac non rac construction of catalog backups of large databases rman the production development managing database structure and storage allocation monitored oracle grid control junior richmond va may 2012 to june 2013 data oracle 11 grid control automated the data replication materialized views used oracle enterprise oem 11g cluster oracle rac su physical standby oracle data guard oracle rac oracle support the srs education virginia commomwealth university richmond va august 2013 sql linux exp imp data toad oracle 10g 11 sun,Database Administrator,"{1: 0.9230769230769231, 6: 0.07692307692307693}"
508,Database Administrator,more than six years dba configuring single instance oracle real application clusters rac automatic storage management asm asm ibm aix solaris data guard failover switchover read clone installation patching cloning and upgrading of oracle databases grid infrastructure extensive rman sql tuning sql rac asm oracle rhel hp ux non rac rac rac non rac rman rconfig nodes rac 12c oracle advanced technologies oracle streams data guard real application clusters data guard linux rman complete and incomplete recovery tablespace point time recovery oracle data pump export import classic original export import experience quarterly cloning oracle application uat oracle applications and oracle databases experience materialized views security user management privileges roles oracle flashback technology flashback flashback flashback drop flashback table flashback query sql tuning advisor sales performance management spm segment session history ash addm sql tuning sql trace explain plan sql goldengate creating oracle wallet oracle 11 tuning sql pl sql materialized views database hands rman sql backtrack veritas netbackup disk space management expertise rman catalog nocatalog cross platform transportable tablespace statspack awr tkprof sql sql sql pl sql enjoy us february 2015 databases applications upgrade oracle 10 sql trace statspack explain plan tkprof extensive performance tuning memory sga srdf raid raw devices perform perform sql tuning sql use rman perform hot cold rman management of schemas kornshell sql dba data guard logical rac rman veritas netbackup commvault implement active data guard logical and physical standby 10g 11 12c the production databases configure data guard tb optimal 12c rac non rac standby databases active data guard snapshot standby data guard broker involvement the development team application team system administrators release teams tuning of oracle database sql trace sql trace oracle enterprise oasis oem oem implement goldengate rac monthly develop rman backup rman active active duplication experience expdp impdp goldengate exp dbms crontab universe design hot cold rman support asm disk group rac generate statspack awr oem 12c oracle 11 oracle wait events sql optimizer hints sql sql sql richmond va march 2013 to february 2015 rman data pump export import oracle rman crontab rman autoconfig pre patch analysis applied patches maintenance pack interoperability patch release validated apps relinking the oracle apps rac non rac production test and development planned rman sql sql maintained strong patch patch runinstaller perl oracle s data pump export import of oracle rman data pump conventional export import of oracle 10 hp ux su oracle su cdb 12c cdb pluggable databases pdb ran created physical standby rman data guard broker physical standby physical standby su materialized views oracle streams sun solaris sql october 2009 to march 2013 roche diagnostics input microsoft excel magna pure 96 magna pure compact hamilton star cobas 4800 education school of professional and graduate studies overland park ks business science courses university of alaska additional information 6 years 6 years 12c sql sql db configuration exp imp logminer quest qdesigner ibm mac 450 sun storedge 6320 ibm sql course certificate industry certification,Database Administrator,{1: 1.0}
509,Database Administrator,database administrator 7 years oracle exadata oracle enterprise cloud control 12c rac linux sun solaris installation upgrading databases oracle troubleshooting performance tuning backup recovery sqa oracle rac rac clusterware administration srvctl crsctl asmcmd cellcli extensive recovery pitr tspitr export import flashback technologies database technology databases oem grid sql sql ddl dml sql sql sql tuning sql sqltxtract applying patches critical patch update patch set rac logical erwin recycle bin 11 grid monitoring windows aix oracle dataguard standby databases standby rman standby databases logical dataguard non asm asm rman expertise cross statspack awr automatic workload repository tkprof sql upgrades patches tar cloning backups recovery manager performance june 2017 oracle 11 cloud control 12c create oracle provide production tune oracle12c plan nightly rman 12c 12c pdb metadata pdb remote clone pdb snapshot data guard rman veritas net backup active data logical physical standby 12c and cloud control implemented golden gate rman oracle 10g 11 oracle 11 g data guard ssl olap goldengate goldengate veridata linux 3 srvctl crsctl adr asmcmd one year old monthly rman expdp impdp golden gate exp dbms crontab designed cold hot man with flash recovery area and logical backups expdp impdp statspack awr oem 12c oracle 11 oracle sql sql sql application db s ec2 rds sql indianapolis april 2016 to june 2017 development test uat daily red hat linux manhattan oc11 sci edw datapump database rman duplicate used rman duplicate expo rman duplicate planned backup restoration strategy planning backups logical backups with export import data 12c configuring 12c sql pl sql awr addm active session history ash worked applications the packages triggers and indexes file rman sql database sql trace daily linux r2 implemented dataguard rac systems analysts systems engineers admins application developers os objects tablespaces schemas march 2013 to april 2016 rman oracle rman scheduling the physical backups cron rman oracle 11 rac sql sql patch patch runinstaller oracle s datapump export import oracle tablespace oracle expertise rman datapump conventional export import of oracle hp ux su oracle 12c created oracle wallets tablespace databases created physical standby rman failover switchover data guard broker physical standby su oracle sun solaris sql april 2008 skills database sql rman solaris erwin oem 12c sql sql sql log remedy operating systems aix hp ux linux 450 sun storedge 6320 hitachi hp ux 9000 red hat linux,Database Administrator,{1: 1.0}
510,Database Administrator,department of housing and urban development bowie md authorized us daily sql sybase database systems su query analyzer ensure backups sql configure 2008 2016 ms sql select accomplishments cloud months agile production support database administrator citi group 2016 su 24 7 2015 one day 2015 oracle su database administrator university of maryland university college 2014 daily daily oversaw sox education bachelor s degree biologychem 8 years 8 years 6 years dba sql dba sql,Database Administrator,{1: 1.0}
511,Database Administrator,between 9 00 am and 9 00 north kingstown april 2019 sql 2004 2017 ibm db2 etl ssis act sql create etl analyze analyze 24 7 sql december 2016 to march 2019 sql vlf sql 24 7 sysadmin microsoft act sql daily day monthly september 2015 to november 2016 sql updates the rollout operations center 1600 vb6 vp converted windows xp sql 2008 sql 2012 may 2014 to september 2015 excel vb6 vba technical support consultant cvs health june 2013 may 2014 third swoon technologies became two months performed project managers sql consumer relations representative kaz usa inc southborough june 2012 to june 2013 3 minutes oracle education management information systems bridgewater state university present information systems management in information systems bristol community university of massachusetts dartmouth dartmouth ma skills dba sql dba,Database Administrator,"{1: 0.7692307692307693, 6: 0.07692307692307693, 8: 0.15384615384615385}"
512,Database Administrator,database administrator seven years oracle 10 12c 18c ms sql us november 2017 sla rman datapump bct 11g to db data pump applied oracle quarterly opatch oracle oem capacity weekly march 2015 to october 2017 established created entity relational diagrams erd forward engineering uml unified modeling language part the oracle datapump and dbua rman datapump administering physical and standby pl sql procedures functions cursors triggers oracle 11 12c created remedy configure oracle 11 12c sql sql rman nfi junior march 2012 to january 2015 10g to 11 refreshes data pump imp exp rman oracle 10 windows linux oracle ofa sla rman datapump bct seven hours one hour deployed database oem cloning architecture ericnyambabid20760378,Database Administrator,{1: 1.0}
513,Database Administrator,8 years database technology toad oracle rhel ddl evaluated oracle golden gate active dataguard configurations tb migrated oracle sun solaris red linux 5 goldengate worked sql tuning updated mviews administered oracle 11 rac asm rac oracle rac oracle 11g rac upgrading oracle rac active dataguard and snapshot configured automatic storage management asm applying psu installer unix windows performance tuning oem sql awr addm ash sql trace ordebug data export import utilities sql optimal flexible architecture vldb dss addm automatic database diagnostic monitor awr automatic workload repository statspack sql tuning sql sta sql tuning advisor coordinated with installed oracle 10g 11 rac asm acfs file oracle net configuration netstat procedures functions triggers sql us october 2018 sdlc linux databases 18c release dev test stage qa oracle 12c configured dataguard oracle 11 2 rman oracle fusion middleware oracle oracle federal financial rac ocfs ii file soa suite work with system admin and network cloning october april quarterly january 2016 to september 2018 planning implementing databases 12c release dev test stage qa oracle 12c rac rac gi oracle 11 rac rac acfs multi oms standby monitored goldengate 12c goldengate plugin goldengate director gg rman duplicate oem oracle enterprise tune the bad performing sql stats predications monitoring oracle golden gate release managing golden gate installation configuration of asm rac adding services grid migrated 10g to 11 materialized views db su primary standby oracle point pitr tablespace rman oracle oracle 11 2 rac datapump fixed automated workload repository awr active session history ash achieved statspack sql trace physical standby oracledata guard oracle 11 awr designed logical unix export import rman march 2011 to december 2015 su oracle 11 aix oracle control loading sql awr implementing datapump oracle 11 databases schemas tables 10g and 10g 11 tuning pack diagnostics pack and oem oracle enterprise rman backup recover blocks rman apply psu patch tuning database awr addm sql sql qa dbms awrsql sql tune sql db tuning rac database implemented flashback oracle 11 recyclebin rman rman performed database oracle 10 oracle 11 rac su rdbms dbverify rac rman performance tuning of databases oracle applications finding performance addm daily sga asm non asm made oracle support washington dc 2010 skills aix 4 years cisco less 1 year 8 years 8 years less than 1 year 4 years 7 years 8 years 4 years 8 years solaris less than 1 year sql 7 years 2 years less than 1 year less than 1 year vpn dba dba,Database Administrator,{1: 1.0}
514,Database Administrator,design user experience research human factors portland cutiebit multiverse blockchain develop user token flow coursera discussion forum user needs assessment netflix content shareability study assessed netflix lo us cutiebit multiverse february 2018 blockchain digital the cutiebit multiverse secured established cutie ico ico comparative blockchain personas blockchain startups developed coded science fiction writer scifutures 2016 global lead technology specialist city of phoenix sap first disaster recovery sap basis sap basis sap first daily service level agreements sla perform senior database administrator choice hotels international phoenix az ibm informix ibm informix write education certificate in ux research and design university of michigan phd transformative inquiry consciousness studies california institute of integral studies december 2018 arizona state university 2008 bs industrial technology interactive computer graphics arizona state university skills qualitative research methods 2 years 1 year less than 1 year heuristics 5 years focus groups 2 years 2 years 5 years 2 years less than 1 year 10 years 10 years 10 years video editing 4 years 4 years 4 years studio max 2 years 2 years 3 years project planning 5 years 5 years project development 5 years 10 years sql cynthiavale,Database Administrator,"{1: 0.6153846153846154, 3: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.07692307692307693, 8: 0.15384615384615385}"
515,Database Administrator,norfolk va us march 2016 to october 2016 sharepoint sap alorica norfolk va may 2015 may 2016 database administrator snelling services virginia beach va 2014 2014 fortune april 2014 to june 2014 fortune su consolidated excel 2012 comptroller s office norfolk naval station automate zaisco norfolk va 2004 to 2005 internal audits caribbean days 253 days to 10 days norfolk state university skills database administration 10 years 10 years 10 years 10 years 10 years 10 years 10 years automated reprogramming and commitment funds by developing apps and forms solid visual basic vb analyze edi skills web development excel word sharepoint,Database Administrator,"{1: 0.7692307692307693, 3: 0.07692307692307693, 6: 0.07692307692307693, 8: 0.07692307692307693}"
516,Database Administrator,escondido volunteer massage elizabeth hospice elizabeth hospice may 2018 holistic health practices alex jenks december 2015 home and mobile yoga therapy chakra may 2018 alex jenks home and mobile massage therapy utilized database administrator programmer san diego ca december 2015 to march 2018 sql 3 years,Database Administrator,"{1: 0.7692307692307693, 6: 0.07692307692307693, 8: 0.15384615384615385}"
517,Database Administrator,june 2017 sql 2014 ms sql ms sql 2014 monitored morgan state university september 2015 to march 2017 2nd september 2012 to march 2017,Database Administrator,"{1: 0.8461538461538461, 3: 0.07692307692307693, 8: 0.07692307692307693}"
518,Database Administrator,january 2019 oracle microsoft sql oracle microsoft linux solaris windows vmware vcenter vsphere esx vmware vcenter vsphere esx windows 2016 apache tomcat knows windows active ldap non working days rman the flash recovery area performed oracle 10 oracle oracle analyze specialists oracle s rman windows sql created secondary the netapp managed rman data pump sql microsoft sql windows addm awr engaged oracle oracle september 2018 to january 2019 role and responsibilities install java html dhtml css jsp javascript designed database sql write rebuild invalid pl sql oracle 11 rac rac application db globe oem tb dml ddl sql queries database tuning jr september 2017 to august 2018 user management space management monthly annual assist sql linux troubleshooting sql refreshed prod rman 10g to 11 10g to 11 rman recover rman re su rdbms oracle 11 nbc bamenda cameroon september 2015 to july 2017 schema backup s oracle 2 rac environment hp oracle rac education dba sql dba rac ms publisher ms powerpoint tester c java scripts troubleshoot,Database Administrator,"{1: 0.9230769230769231, 6: 0.07692307692307693}"
519,Database Administrator,university of texas dallas dallas business analytics data science and marketing university of texas dallas december 2019 3 years stata pl sql sas hadoop hive shell hewlett packard enterprise september 2016 may 2018 tableau kpi metrics naive bayes algorithm logistic applied internship iim lucknow june 2017 to august 2017 applied harvard business school linear rstudio database management ut november 2018 december 2018 oracle applied machine learning ut dallas february 2019 march 2019 python uci algorithm service information developer february 2015 to august 2016 the etl solutions bi database administrator september 2014 to february 2015 sql oracle ssis sql 2012 the university of texas dallas dallas december 2019 communication cambridge institute visvesvaraya technological university june 2014 linear logistic meghana1911,Database Administrator,"{1: 0.7692307692307693, 3: 0.07692307692307693, 6: 0.07692307692307693, 8: 0.07692307692307693}"
520,Database Administrator,health care data analyst health care data chicago il data enthusiast oracle database administration statistics analytics 5 years us may 2018 analyze support cpt su august 2017 oracle 12c rac rman rman day to day sql unix oracle create oracle run sql crontab rman data sql sql tuning business analyst ibaka entertainment inc may 2017 to august 2017 ran oracle sql manipulated r sql education bachelor of arts statistics university of minnesota morris june 2017 skills database management 1 year 3 years sql 3 years 2 years 3 years 3 years 3 years recognition 3 years 3 years 3 years 4 years 1 year etl excel data entry 3 years certifications licenses december 2017 power user july 2017 unix shell data oem grid advanced microsoft vba,Database Administrator,{1: 1.0}
521,Database Administrator,us 2018 controlling dbms oracle 11g windows asm unix oracle ofa 2008 11g oracle data sla field engineer ip plus consulting 2016 windows 7 10 washington baltimore perform hp dell assist assist vpn windows assist cisco switches break fix team lead network 2015 2016 2008 2012 r2 set cisco ip bgp ospf eigrp installed perform break fix a cybersecurity university of maryland university college assoc applied science largo md,Database Administrator,"{1: 0.3076923076923077, 3: 0.46153846153846156, 4: 0.07692307692307693, 6: 0.15384615384615385}"
522,Database Administrator,several years oracle dba proficiencies 3 years rman tuning user management auditing using data pump export and import work experience september 2011 meta link dbca oem create rman awr addm periodic the oracle technology network clone rman oem data pump data database administrator bethesda february 2010 to september 2011 linux unix awr addm data the information power center etl oracle oracle oracle support sql 10g and 11 window education bachelors university of dschang associate prince georges community college 2003 sql pl sql ovm oem cloud vmware technologies microsoft office,Database Administrator,"{1: 0.8461538461538461, 3: 0.07692307692307693, 8: 0.07692307692307693}"
523,Database Administrator,alpharetta ga april 2017 present collect managing dashboard crm the crm salesforce summarize create amazon seller central vendor central sams club ebay walmart homedepotlink lowes shopify research perform database administrator sql server voogole it academy alpharetta ga june 2015 to march 2017 configuring query analyzer profiler sql capable virtual and physical sql sql 2005 2008 2012 education bachelor s computer science national university skills data,Database Administrator,"{1: 0.9230769230769231, 8: 0.07692307692307693}"
524,Database Administrator,september 2018 provide january 2017 to september 2018 program coordinator school gardening south carolina educators may 2015 to november 2016 may 2015 november 2016 bachelor of science marie biology college charleston charleston may 2015 skills data spss sap srm written excel microsoft,Database Administrator,"{1: 0.6923076923076923, 4: 0.07692307692307693, 5: 0.07692307692307693, 6: 0.15384615384615385}"
525,Database Administrator,the enterprise application integration eai sql ms office mumps c sql laboratory and hospital vista authorized us january 2018 services and development the united states agile transformation services supply chain management logistics data science infrastructure telecommunications support cloud services cyber security responsibilities working the va vista enrollment eligibility cprs scheduling registration pharmacy vista modifying hl7 vista hl7 mumps juniper networks california june 2017 to january 2018 juniper networks inc american sunnyvale california estimate assist sql perform daily forsys inc august 2016 may 2017 description forsys inc forsys combine agile design applications web facilitate provide compile communicate multi junior developer electronic corporation of india ecil january 2014 to august 2015 defense ecil ecil india ecil first tdc 316 first india microsoft windows provided education sql,Database Administrator,{1: 1.0}
526,Database Administrator,us verizon wireless temple terrace fl march 2017 datapump rman duplicate oem oracle enterprise foglight automated unix goldengate goldengate goldengate goldengate maintained ods schedule stats point pitr tablespace rman oracle 11 oracle datapump fixed automated workload repository awr active session history ash achieved statspack sql trace physical standby oracledata guard oracle 11 awr tuning pack diagnostics pack sun solaris exadata asm rman oem12c 13c datapump awr addm now rac walgreens deerfield january 2016 to march 2017 unix export import rman define monitoring su 12c created oracle wallets tablespace configuration of listener and tnsnames created designed logical create sql pl sql preparation of high level low level design documents environment oracle 11g 10 solaris sql sql shell bourne oem statspack chicago october 2014 to december 2015 tb rman duplicate point pitr tablespace rman oracle oracle 11 2 rac datapump fixed automated workload repository awr active session history ash achieved statspack sql trace schedule performance backups stats dev uat qa presenting physical standby oracledata guard oracle 11 awr tuning pack diagnostics pack oem oracle enterprise unix environment oracle sun solaris datagaurd rac rman oem datapump awr addm ash toad 11 0 university of buea skills sql sql database rman dba sql dba sql 4 years oracle solaris unix windows oracle 10 11g 12c patch patch runinstaller working data rman deployed standby data guard sql tkprof utlstat awr addm tuning of sga oracle created users roles profiles privilege session history ash sql trace maintaining cold backups hot backups and export dumps data data pump sql g 12c sun solaris 2000 addm sql sql unix shell scripting perl utilities imp data toad oracle,Database Administrator,{1: 1.0}
527,Database Administrator,sql sql sql sql database administration the organization experienced sql management studio enterprise query analyzer sql sql 24 7 tuning sql database sql 2014 2008 2005 tuning sql database log shipping mirroring and clustering experience sql server profiler sql db third red gate setup weekly monthly active passive and active active cluster sql ssis sql ssis bulk insert real time query tuning error and event handling experienced application us sql wells fargo richmond va february 2017 to june 2018 sqlalwayson databases creating users schemas roles and permissions sql sql sql sql etl excel sql analysis services ssas worked daily sql 2008 sql sql sql database engine tuning advisor involved with etl ssis package excel csv oracle 2012 2012 2008 sql december 2016 to january 2017 sql 2012 2014 2005 2008 2014 2012 to sql su sql 2012 sql 2012 sql troubleshooting dmvs sql qa qa update procedures daily jobs troubleshoot created production development and testing sql 2012 environment ms sql 2016 20142012 2008 2008 2012 november 2013 to october 2016 sql 2012 2008 2008 r2 2005 sql 2005 sql tsql executed data another using ssis review sql mail managing alerts monitoring and tuning sql server scheduling strategy dead locks sql sql sql query analyzer sql profiler engine advisor performance database sql perfmon profiler dynamic sql standby servers ms sql continuously agent jobs services 2012 2008 sql sql log mirroring vmware windows xp 2000 2008 2012 science 4 years 4 years sql 4 years sql 4 years sql 4 years 2005 2008 2017 oracle 11 powershell script sql red gate sql monitor crystal report 2003 2008 2012 atlassian,Database Administrator,{1: 1.0}
528,Database Administrator,database administrator houston 6 years the years oracle r2 replication database security memory management patch installation migration upgrades backup and recovery cloning 12c data guard golden gate finance it insurance and tech us may 2017 to july 2019 12c rac os extensive database schema rman 11g 12c hp ux sun solaris ibm aix windows rac golden gate experience active data guard expertise data guard failover switchover read rolling prod implementation of oracle backup and recovery data rac oem daily db flashback retention target having oracle wait events latches enqueues memory automatic asmm ash buffer cache advisors stats jira service logical and physical design of databases experience sox pci cab rollback oracle architecture sga pga binary sql net v data logical sql developer erwin visio proficient patches patch quarterly upgrading automatic storage management asm rac non asm to asm non rac rac administered oracle asm oracle asm configuration 10g to 11 12c data export import oracle cloud control 12c working day to day 24 7 extensive oracle srvctl crsctl private ip ip nas san asm performance tuning query database database grid multitenant architecture oem data pump srvctl export import pl sql sql sql trace awr addm sga stats team good sop december 2014 to april 2017 70 grid infrastructure oracle 12c multitenant linux windows standalone rac linux handled daily prod dev uat iso2900 hippa pci automate rman rman third media management trivoli tsm tdpo commvault proficiency rman rman quarterly rman data manage aws sql dml ddl oracle unix golden gate data guard installed oem 12c grid infrastructure disks linux oracle asm asm managing asm oracle 11 oracle ofa the optimal flex architecture wait events sessions physical and logical io memory cpu usage extensive quarterly the companies sla s terabyte os configuration troubleshoot sga pga golden gate golden gate golden gate data guard oracle asm oracle rac implemented data guard data guard fail thorough rman 11g 12c aws 12c grid infrastructure disks linux 12c rac asm voting disk ocr disk troubleshooting sql pl sql creation configuration the catalog worked awr ash solarwinds nagios oem 12c 64 windows 2008 toad commvault idera sql skills oracle sql,Database Administrator,{1: 1.0}
529,Database Administrator,chicago us june 2015 may 2017 union bank of switzerland sql c vb net asp net visual basic 2005 2008 xml xslt net framework clr xml net c vb net asp net net security wcf services wwf vb script javascript ado net sql jquery bootstrap json asp net web wcf services developed web services wcf restful services expertise data binding controls dataset data june 2014 to july 2014 javascript sql sql 2000 coding asp net c java script 2000 sql 2012 javascript ado net iis education master of science in computer science university of illinois at chicago chicago il august 2017 may 2019 bachelor of technology august 2011 to june 2015 sql pl sql javascript hadoop mapreduce asp asp spa ajax netentityframework bootstrap mongo db node js xpath tableau hadoop informatica itil aws data studio 2008 2005 2010 9 8 5 8 uml rational rose kruneet,Database Administrator,"{7: 0.6923076923076923, 8: 0.07692307692307693, 9: 0.23076923076923078}"
530,Database Administrator,2 years oracle golden gate strong november 2017 november 2017 perl cr setup and installation of oracle golden gate support gg replications end prod non prod troubleshooting gg investigate replication log working working cisco cisco quarterly monthly october 2015 july 2016 to november 2017 july 2016 to november 2017 kurnool andhra additional information technical skills operating system sql perl python,Database Administrator,"{1: 0.6923076923076923, 6: 0.07692307692307693, 7: 0.07692307692307693, 8: 0.07692307692307693, 9: 0.07692307692307693}"
531,Database Administrator,erbil iraq kellogg summary experienced seven years up to 30 million dollars project management strong communication skills core proficiencies continuous process improvement monitors terrific team senior leadership asset management work experience project erbil iraq kellogg june 2018 june 2018 erbil iraq the us government ibm michael baker august 2015 to november 2016 ibm maximo applied familiarized loaded maximo project management purdue university awards honor graduate 2018 cum laude purdue university july 2013 march 2013,Database Administrator,"{1: 0.7692307692307693, 8: 0.23076923076923078}"
532,Database Administrator,business intelligence analyst intern business intelligence analyst intern business intelligence business analyst data dallas tx authorized us may 2017 design micro strategy healthcare industry informed analytics techno functional consultant hitachi consulting hyderabad andhra pradesh september 2014 to july 2016 sparkle award erp standard processes 6 month hitachi monthly quarterly may 2013 to august 2015 dataguard airtel database education m s business analytics university of texas dallas dallas august 2016 kurukshetra haryana june 2014 2 years sap 2 years 2 years sql 4 years 4 years 1 year 1 year 1 year 2 years 4 years 4 years bi 2 years 2 years hadoop 1 year microsoft 6 years additional information technical skills languages sql sql visio ms office sql sql,Database Administrator,"{1: 0.7692307692307693, 3: 0.07692307692307693, 6: 0.07692307692307693, 8: 0.07692307692307693}"
533,Database Administrator,database administration 5 years sql sql 2008 sql 2014 sql sql query analyzer sql agent sql sql replication monitored bulk loads ssis bulk inse etl stored procedures sql setup teamcity octopus upgraded 2008 2012 sql 2016 created 2015 to performance tuning and optimization troubleshooting issues designed sql 2008 2012 sql configuring database mirroring performance sql upgrades size su sql 2008 2012 sql tuning wizard database engine third redgate junior administrator pacific system inc mcdonough 2014 2015 hours nightly etl sql assist os 2014 human resource management american international university 2005 political science indiana university 2002 5 years 5 years sql 5 years sql 4 years sql 4 years 3 years 2 years 2 years 2 years 2 years 2 years capacity planning less than less than 1 year less than 1 year less than 1 year 2008 troubleshooting sql administration of sql server database security profiles database sql 2008 2012 sql 2008 2016 sql compare idera technical,Database Administrator,{1: 1.0}
534,Database Administrator,data stevens institute of technology honolulu pacific university honolulu july 2019 stevens institute of technology hoboken nj february 2017 sas weekly weekly sas visual analytics tableau annual etl sas enterprise guide ssis python database administrator july 2016 to september 2016 created sql education master of science in information system gabelli school of business fordham university new york ny december 2016 bachelor of science in financial management school of management shanghai university of engineering science shanghai june 2015 skills microsoft less than 1 year less than 1 year 3 years 1 year 2 years sas october 2016 sas october 2016 october 2017 january 2018 spo s management global spo s spo s analytics spo s digital spo s event sql sas enterprise sas visual analytics,Database Administrator,"{1: 0.7692307692307693, 6: 0.07692307692307693, 8: 0.15384615384615385}"
535,Database Administrator,august 2018 rdx s perform rdbms march 2016 to august 2018 solarwinds remedy oracle mssql postgressql db2 oracle the database operations center tiers in database operations center july 2015 to march 2016 duties education may 2015 skills dba oracle,Database Administrator,"{1: 0.7692307692307693, 3: 0.07692307692307693, 6: 0.07692307692307693, 8: 0.07692307692307693}"
536,Database Administrator,dell inc scrum master 4 years scrum dell inc august product owners the enterprise business delivery model guiding guide facilitates agile fosters helps demos assist e pi pi help team pi stretch challenge daily protect the sprint backlog sharepoint wells fargo may 2017 to july 2018 agile criteria assist shield scrum sprint planning daily scrum meetings sprint reviews sprint retrospectives manage vacation days foster safe assist pi coordinate team a pi coordinate scrum masters release train and engineer improve automated testing continuous integration continuous delivery foster tools jira confluence sharepoint january 2015 to april 2016 responsibilities install ibm oem aix apply create dbca automatic asm awr addm ash statspack schedule daily night rman rman import created exp imp data oracle sun solaris sql imp data toad sql sharepoint addm sql sql c c connectwise,Database Administrator,"{1: 0.8461538461538461, 3: 0.07692307692307693, 6: 0.07692307692307693}"
537,Database Administrator,us april 2017 daily november 2016 to april 2017 raiser s july 2016 to november 2016 2009 skills access 2 years 2 years 3 years 8 years 8 years microsoft,Database Administrator,"{1: 0.5384615384615385, 3: 0.23076923076923084, 6: 0.07692307692307694, 8: 0.07692307692307694, 9: 0.07692307692307694}"
538,Database Administrator,tech community kokomo kokomo july 2019 troubleshoot tallahassee january 2019 to june 2019 php sql php july 2018 to december 2018 evids 2013 2016 aviation battalion s aviation education university of maryland university college adelphi php php libraries created libraries javascript database management knowledgeable sql,Database Administrator,"{1: 0.9230769230769231, 9: 0.07692307692307693}"
539,Database Administrator,mid level management recognized us september 2018 database analyze analyze power bi regular united way greater kansas city volunteer black veatch explorer post black veatch overland park ks march 2018 to september 2018 assisted project controls ecosys assisted site acquisition and construction assisted finance power bi database administrator may 2017 to march 2018 nsb norad swifttrac reviewed database administrator november 2016 may 2017 nsb norad swifttrac reviewed june 2016 to august 2016 daily weekly kansas city june 2015 to june 2016 supported executive weekly lean initiatives broke crosslines community outreach education bs january 2020 business administration metropolitan community college of kansas city skills oracle 2 years microsoft office 10 years,Database Administrator,"{1: 0.8461538461538461, 6: 0.07692307692307693, 8: 0.07692307692307693}"
540,Database Administrator,database administrator database administrator database administrator august 2018 new england improved hundreds of thousands of dollars intern office gina raimondo january 2018 to august 2018 a week 700 hours may 2017 to september 2017 lead galley steward american cruise lines seattle wa march 2015 to august 2015 the month seattle wa portland september 2017 word cpr links excel power point outlook fiix,Database Administrator,"{1: 0.7692307692307693, 3: 0.07692307692307693, 8: 0.07692307692307693, 9: 0.07692307692307693}"
541,Database Administrator,sql 4 years microsoft sql dba sql database upgrades backup third idera technical concepts 2005 2008 2012 wan tcp ip vpn work experience sql 2014 present performs troubleshooting sql data ssis security sql qa database mirroring administering sql perform sql 2005 2008 2012 to installation configuration upgrades capacity planning performance tuning backup and recovery data analysis powerpoint data sql ssis troubleshooting viewer perfmon sql backups monitoring sql sql ssrs education bachelor of management information system in suite florida international university miami fl additional information operating systems windows server 2008 2012 active directory dba workshops 2005 2008,Database Administrator,"{1: 0.9230769230769231, 8: 0.07692307692307693}"
